Complexity metrics,Wed, 25 Oct 2017 13:21:11 SAST
Method,ev(G),iv(G),v(G)
"za.co.wernerm.squekyclean.SquekycleanApplication.main(String[])",1,1,1
"za.co.wernerm.squekyclean.api.CarController.updateCars(String,String[])",1,9,10
"za.co.wernerm.squekyclean.api.MockTransactionController.genRandomReg()",1,1,1
"za.co.wernerm.squekyclean.api.MockTransactionController.mock()",1,4,4
"za.co.wernerm.squekyclean.api.PostController.createPost(CreatePostDTO)",1,1,1
"za.co.wernerm.squekyclean.api.PostController.getPosts(String)",1,2,2
"za.co.wernerm.squekyclean.api.SubscribeController.subscribe(SubscribeDTO)",1,1,1
"za.co.wernerm.squekyclean.api.ThreadController.createThread(CreateThreadDTO)",1,1,1
"za.co.wernerm.squekyclean.api.ThreadController.getThread(long)",1,2,2
"za.co.wernerm.squekyclean.api.ThreadController.getThreads()",1,3,3
"za.co.wernerm.squekyclean.api.TransactionController.createTransaction(CreateTransactionDTO)",1,1,1
"za.co.wernerm.squekyclean.api.UserController.createUser(String,String)",3,3,5
"za.co.wernerm.squekyclean.api.UserController.getUser(String)",2,2,3
"za.co.wernerm.squekyclean.dto.CarDTO.CarDTO()",1,1,1
"za.co.wernerm.squekyclean.dto.CarDTO.CarDTO(String,List<TransactionDTO>)",1,1,1
"za.co.wernerm.squekyclean.dto.CarDTO.getRegistrationNumber()",1,1,1
"za.co.wernerm.squekyclean.dto.CarDTO.getTransactions()",1,1,1
"za.co.wernerm.squekyclean.dto.CarDTO.map(Car)",1,2,2
"za.co.wernerm.squekyclean.dto.CarDTO.setRegistrationNumber(String)",1,1,1
"za.co.wernerm.squekyclean.dto.CarDTO.setTransactions(List<TransactionDTO>)",1,1,1
"za.co.wernerm.squekyclean.dto.CreatePostDTO.CreatePostDTO()",1,1,1
"za.co.wernerm.squekyclean.dto.CreatePostDTO.CreatePostDTO(long,String,String)",1,1,1
"za.co.wernerm.squekyclean.dto.CreatePostDTO.getAuthor()",1,1,1
"za.co.wernerm.squekyclean.dto.CreatePostDTO.getContent()",1,1,1
"za.co.wernerm.squekyclean.dto.CreatePostDTO.getThreadId()",1,1,1
"za.co.wernerm.squekyclean.dto.CreatePostDTO.setAuthor(String)",1,1,1
"za.co.wernerm.squekyclean.dto.CreatePostDTO.setContent(String)",1,1,1
