Complexity metrics,Wed, 25 Oct 2017 14:30:43 SAST
Method,ev(G),iv(G),v(G)
"za.co.wernerm.squekyclean.dto.PostDTO",1.00,10
"za.co.wernerm.squekyclean.dto.SubscribeDTO",1.00,6
"za.co.wernerm.squekyclean.dto.ThreadDTO",1.00,8
"za.co.wernerm.squekyclean.integration.ThreadRepoTest",1.00,2
"za.co.wernerm.squekyclean.model.Post",1.00,13
"za.co.wernerm.squekyclean.model.Thread",1.00,10
"za.co.wernerm.squekyclean.subscriptions.SNSSubscription",1.00,4
"za.co.wernerm.squekyclean.util.DebugProperties",2.00,4

Package,v(G)avg,v(G)tot
"za.co.wernerm.squekyclean",1.00,1
"za.co.wernerm.squekyclean.api",1.60,8
"za.co.wernerm.squekyclean.dto",1.00,36
"za.co.wernerm.squekyclean.integration",1.00,2
"za.co.wernerm.squekyclean.model",1.00,23
"za.co.wernerm.squekyclean.subscriptions",1.00,4
"za.co.wernerm.squekyclean.util",3.00,6

Module,v(G)avg,v(G)tot
"squekyclean",1.10,80

Project,v(G)avg,v(G)tot
"project",1.10,80

